date,log_dp,log_dy,log_ep,log_de,bm,ntis,tbl,lty,ltr,tml,dfy,dfr,infl_lag,target
1959-03-01,-3.4443218082959097,-3.4443218082959097,-2.880678628690505,-0.563643179605405,0.5168602815309701,0.024984389586117116,0.027999999999999997,0.0403,0.0017,0.012300000000000005,0.007199999999999998,-0.01,-3.4443218082959097,0.0010186666666666669
1959-04-01,-3.4786081158380897,-3.4786081158380897,-2.8881159260085765,-0.5904921898295132,0.49859719438877753,0.024360569619933985,0.029500000000000002,0.0414,-0.0117,0.011899999999999997,0.0063,-0.0055,-3.4786081158380897,0.037595666666666666
1959-05-01,-3.493616550195601,-3.493616550195601,-2.877167902683239,-0.616448647512362,0.48307677969524226,0.02588723385922234,0.028399999999999998,0.0417,-0.0005,0.013300000000000003,0.0058999999999999955,-0.0109,-3.493616550195601,0.021264333333333333
1959-06-01,-3.4862981823349153,-3.4862981823349153,-2.844738370565463,-0.641559811769452,0.483219390926041,0.026882074447754298,0.0321,0.0419,0.001,0.009800000000000003,0.0058,0.0034000000000000002,-3.4862981823349153,-0.0034
1959-07-01,-3.5168736890955854,-3.5168736890955854,-2.8760963493388045,-0.6407773397567808,0.4608226647700332,0.027141372074974416,0.032,0.0417,0.006,0.0097,0.006100000000000001,0.0029,-3.5168736890955854,0.031837333333333336
1959-08-01,-3.498020618311567,-3.498020618311567,-2.85801502299679,-0.6400055953147771,0.4680844659171295,0.028146130720926168,0.0338,0.0423,-0.0041,0.0085,0.006600000000000002,-0.0026999999999999993,-3.498020618311567,-0.013892666666666668
1959-09-01,-3.4476169402172507,-3.4476169402172507,-2.808383524317137,-0.6392334159001143,0.4923378926038501,0.030528391277140285,0.0404,0.0429,-0.0057,0.0025000000000000022,0.006600000000000002,-0.0031000000000000003,-3.4476169402172507,-0.04654866666666666
1959-10-01,-3.4551275585450463,-3.4551275585450463,-2.8234663208872037,-0.6316612376578425,0.48097742035261365,0.031020180544657373,0.0405,0.0421,0.015,0.0015999999999999973,0.007099999999999995,0.0015000000000000013,-3.4551275585450463,0.009199
1959-11-01,-3.46459448171646,-3.46459448171646,-2.8405046172509487,-0.6240898644655112,0.47179829485117875,0.02972238038840528,0.0415,0.0432,-0.0119,0.0017000000000000001,0.007000000000000006,0.0254,-3.46459448171646,0.015027666666666665
1959-12-01,-3.4881935794230414,-3.4881935794230414,-2.871679624884012,-0.6165139545390294,0.45778379651436646,0.022856304098949398,0.0449,0.0447,-0.0159,-0.00020000000000000573,0.006999999999999999,0.006300000000000002,-3.4881935794230414,0.025885333333333333
1960-01-01,-3.3942069464137874,-3.3942069464137874,-2.7975331198071136,-0.5966738266066737,0.499502104012078,0.022116167472267467,0.0435,0.0441,0.0112,0.0006000000000000033,0.007299999999999994,-0.0005000000000000004,-3.3942069464137874,-0.073558
